,raw,label,raw_clean,raw_casefolding,raw_tokenizing,raw_filtering,raw_normalisasi,raw_stimming,Ready
391,Memudahkan cara pembayaran,1,Memudahkan cara pembayaran,memudahkan cara pembayaran,"['memudahkan', 'cara', 'pembayaran']","['memudahkan', 'pembayaran']","['memudahkan', 'pembayaran']","['mudah', 'bayar']",mudah bayar
392,Bagus dlm merespon langganannya,1,Bagus dlm merespon langganannya,bagus dlm merespon langganannya,"['bagus', 'dlm', 'merespon', 'langganannya']","['bagus', 'dlm', 'merespon', 'langganannya']","['bagus', 'dalam', 'merespon', 'langganannya']","['bagus', 'dalam', 'merespon', 'langgan']",bagus dalam merespon langgan
393,"Sangat buruk, kirim uang pending terus ga balik balik",-1,Sangat buruk kirim uang pending terus ga balik balik,sangat buruk kirim uang pending terus ga balik balik,"['sangat', 'buruk', 'kirim', 'uang', 'pending', 'terus', 'ga', 'balik', 'balik']","['buruk', 'kirim', 'uang', 'pending']","['buruk', 'kirim', 'uang', 'pending']","['buruk', 'kirim', 'uang', 'pending']",buruk kirim uang pending
394,sangat membantu sekali,1,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],['membantu'],['bantu'],bantu
395,Ok,1,Ok,ok,['ok'],['ok'],['ok'],['ok'],ok
396,Saya suka dengan layanan nya cepat tanggap dan mudah bertransaksi. Sukses selalu buat Linkaja,1,Saya suka dengan layanan nya cepat tanggap dan mudah bertransaksi Sukses selalu buat Linkaja,saya suka dengan layanan nya cepat tanggap dan mudah bertransaksi sukses selalu buat linkaja,"['saya', 'suka', 'dengan', 'layanan', 'nya', 'cepat', 'tanggap', 'dan', 'mudah', 'bertransaksi', 'sukses', 'selalu', 'buat', 'linkaja']","['suka', 'layanan', 'cepat', 'tanggap', 'mudah', 'bertransaksi', 'sukses', 'linkaja']","['suka', 'layanan', 'cepat', 'tanggap', 'mudah', 'bertransaksi', 'sukses', 'linkaja']","['suka', 'layan', 'cepat', 'tanggap', 'mudah', 'transaksi', 'sukses', 'linkaja']",suka layan cepat tanggap mudah transaksi sukses linkaja
397,Mantap,1,Mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
398,Mahaaaal,-1,Mahaaaal,mahaaaal,['mahaaaal'],['mahaaaal'],['mahaaaal'],['mahaaaal'],mahaaaal
399,Keren,1,Keren,keren,['keren'],['keren'],['keren'],['keren'],keren
400,Bisa diupdrade kirim ny masa 2jt limit sehari.,-1,Bisa diupdrade kirim ny masa jt limit sehari,bisa diupdrade kirim ny masa jt limit sehari,"['bisa', 'diupdrade', 'kirim', 'ny', 'masa', 'jt', 'limit', 'sehari']","['diupdrade', 'kirim', 'jt', 'limit', 'sehari']","['diupdrade', 'kirim', 'jt', 'limit', 'sehari']","['diupdrade', 'kirim', 'jt', 'limit', 'hari']",diupdrade kirim jt limit hari
401,"Makin lama makin bagus,,no ribetÃÂ²..tks link aja",1,Makin lama makin bagusno ribettks link aja,makin lama makin bagusno ribettks link aja,"['makin', 'lama', 'makin', 'bagusno', 'ribettks', 'link', 'aja']","['bagusno', 'ribettks', 'link']","['bagusno', 'ribettks', 'link']","['bagusno', 'ribettks', 'link']",bagusno ribettks link
402,Sangat bagus dan aman,1,Sangat bagus dan aman,sangat bagus dan aman,"['sangat', 'bagus', 'dan', 'aman']","['bagus', 'aman']","['bagus', 'aman']","['bagus', 'aman']",bagus aman
403,Oke,1,Oke,oke,['oke'],['oke'],['oke'],['oke'],oke
404,Saya udah pernah pake aplikasi ini trus lupa kata sandi trus ulang daftar kok gak bsa ya pake ulang ktp,1,Saya udah pernah pake aplikasi ini trus lupa kata sandi trus ulang daftar kok gak bsa ya pake ulang ktp,saya udah pernah pake aplikasi ini trus lupa kata sandi trus ulang daftar kok gak bsa ya pake ulang ktp,"['saya', 'udah', 'pernah', 'pake', 'aplikasi', 'ini', 'trus', 'lupa', 'kata', 'sandi', 'trus', 'ulang', 'daftar', 'kok', 'gak', 'bsa', 'ya', 'pake', 'ulang', 'ktp']","['udah', 'pake', 'aplikasi', 'trus', 'lupa', 'sandi', 'trus', 'ulang', 'daftar', 'bsa', 'pake', 'ulang', 'ktp']","['sudah', 'pakai', 'aplikasi', 'terus', 'lupa', 'sandi', 'terus', 'ulang', 'daftar', 'bisa', 'pakai', 'ulang', 'ktp']","['sudah', 'pakai', 'aplikasi', 'terus', 'lupa', 'sandi', 'terus', 'ulang', 'daftar', 'bisa', 'pakai', 'ulang', 'ktp']",sudah pakai aplikasi terus lupa sandi terus ulang daftar bisa pakai ulang ktp
405,Sekarang kirim uang slalu pending jadi ragu pake aplikasi ini sudah 2 x seperti ini dan untuk penanganannya sangat lama bisa sampe 2 hari padahal lagi butuh butuh nya,-1,Sekarang kirim uang slalu pending jadi ragu pake aplikasi ini sudah  seperti ini dan untuk penanganannya sangat lama bisa sampe hari padahal lagi butuh butuh nya,sekarang kirim uang slalu pending jadi ragu pake aplikasi ini sudah  seperti ini dan untuk penanganannya sangat lama bisa sampe hari padahal lagi butuh butuh nya,"['sekarang', 'kirim', 'uang', 'slalu', 'pending', 'jadi', 'ragu', 'pake', 'aplikasi', 'ini', 'sudah', 'seperti', 'ini', 'dan', 'untuk', 'penanganannya', 'sangat', 'lama', 'bisa', 'sampe', 'hari', 'padahal', 'lagi', 'butuh', 'butuh', 'nya']","['kirim', 'uang', 'slalu', 'pending', 'ragu', 'pake', 'aplikasi', 'penanganannya', 'sampe', 'butuh', 'butuh']","['kirim', 'uang', 'slalu', 'pending', 'ragu', 'pakai', 'aplikasi', 'penanganannya', 'sampe', 'butuh', 'butuh']","['kirim', 'uang', 'slalu', 'pending', 'ragu', 'pakai', 'aplikasi', 'tangan', 'sampe', 'butuh', 'butuh']",kirim uang slalu pending ragu pakai aplikasi tangan sampe butuh butuh
406,Joss.. nggak ribet,1,Joss nggak ribet,joss nggak ribet,"['joss', 'nggak', 'ribet']","['joss', 'nggak', 'ribet']","['joss', 'nggak', 'ribet']","['joss', 'nggak', 'ribet']",joss nggak ribet
407,Ok pokoke,1,Ok pokoke,ok pokoke,"['ok', 'pokoke']","['ok', 'pokoke']","['ok', 'pokoke']","['ok', 'pokoke']",ok pokoke
408,Ã°ÂÂÂ¯Ã°ÂÂÂ,1,,,[],[],[],[],
409,"Saya suka dgn aplikasi ini. Punya pemerintah, bs bayar ini itu, rada monopoli dan memaksa orang untuk pakai. Aplikasi simpel dan bagus menurutku. Cuma bug nya itu loh dari dulu sampe sekarang samaaaa aja. Ga ada niat buat perbaiki kah? Tolong perbaiki top up kartu elektronik. Berguna tapo eror terus",1,Saya suka dgn aplikasi ini Punya pemerintah bs bayar ini itu rada monopoli dan memaksa orang untuk pakai Aplikasi simpel dan bagus menurutku Cuma bug nya itu loh dari dulu sampe sekarang samaaaa aja Ga ada niat buat perbaiki kah Tolong perbaiki top up kartu elektronik Berguna tapo eror terus,saya suka dgn aplikasi ini punya pemerintah bs bayar ini itu rada monopoli dan memaksa orang untuk pakai aplikasi simpel dan bagus menurutku cuma bug nya itu loh dari dulu sampe sekarang samaaaa aja ga ada niat buat perbaiki kah tolong perbaiki top up kartu elektronik berguna tapo eror terus,"['saya', 'suka', 'dgn', 'aplikasi', 'ini', 'punya', 'pemerintah', 'bs', 'bayar', 'ini', 'itu', 'rada', 'monopoli', 'dan', 'memaksa', 'orang', 'untuk', 'pakai', 'aplikasi', 'simpel', 'dan', 'bagus', 'menurutku', 'cuma', 'bug', 'nya', 'itu', 'loh', 'dari', 'dulu', 'sampe', 'sekarang', 'samaaaa', 'aja', 'ga', 'ada', 'niat', 'buat', 'perbaiki', 'kah', 'tolong', 'perbaiki', 'top', 'up', 'kartu', 'elektronik', 'berguna', 'tapo', 'eror', 'terus']","['suka', 'aplikasi', 'pemerintah', 'bs', 'bayar', 'rada', 'monopoli', 'memaksa', 'orang', 'pakai', 'aplikasi', 'simpel', 'bagus', 'menurutku', 'bug', 'sampe', 'samaaaa', 'niat', 'perbaiki', 'kah', 'tolong', 'perbaiki', 'top', 'up', 'kartu', 'elektronik', 'berguna', 'tapo', 'eror']","['suka', 'aplikasi', 'pemerintah', 'bisa', 'bayar', 'rada', 'monopoli', 'memaksa', 'orang', 'pakai', 'aplikasi', 'simpel', 'bagus', 'menurutku', 'bug', 'sampe', 'samaaaa', 'niat', 'perbaiki', 'kah', 'tolong', 'perbaiki', 'top', 'up', 'kartu', 'elektronik', 'berguna', 'tapo', 'eror']","['suka', 'aplikasi', 'perintah', 'bisa', 'bayar', 'rada', 'monopoli', 'paksa', 'orang', 'pakai', 'aplikasi', 'simpel', 'bagus', 'turut', 'bug', 'sampe', 'samaaaa', 'niat', 'baik', 'kah', 'tolong', 'baik', 'top', 'up', 'kartu', 'elektronik', 'guna', 'tapo', 'eror']",suka aplikasi perintah bisa bayar rada monopoli paksa orang pakai aplikasi simpel bagus turut bug sampe samaaaa niat baik kah tolong baik top up kartu elektronik guna tapo eror
410,Mantab keren @bis,1,Mantab keren,mantab keren,"['mantab', 'keren']","['mantab', 'keren']","['mantab', 'keren']","['mantab', 'keren']",mantab keren
411,Tidak nyaman,-1,Tidak nyaman,tidak nyaman,"['tidak', 'nyaman']",['nyaman'],['nyaman'],['nyaman'],nyaman
412,Kenapa mau verifikasi wajah sulit bangetttttttt padahal Uda bener Ã°ÂÂÂ­Ã°ÂÂÂ­Ã°ÂÂÂ­Ã°ÂÂÂ­mo nangis rasanya,1,Kenapa mau verifikasi wajah sulit bangetttttttt padahal Uda bener mo nangis rasanya,kenapa mau verifikasi wajah sulit bangetttttttt padahal uda bener mo nangis rasanya,"['kenapa', 'mau', 'verifikasi', 'wajah', 'sulit', 'bangetttttttt', 'padahal', 'uda', 'bener', 'mo', 'nangis', 'rasanya']","['verifikasi', 'wajah', 'sulit', 'bangetttttttt', 'uda', 'bener', 'mo', 'nangis']","['verifikasi', 'wajah', 'sulit', 'bangetttttttt', 'sudah', 'benar', 'mo', 'nangis']","['verifikasi', 'wajah', 'sulit', 'bangetttttttt', 'sudah', 'benar', 'mo', 'nang']",verifikasi wajah sulit bangetttttttt sudah benar mo nang
413,Jossss lah.... Apa pun bentuknya sllu secepat kilat,1,Jossss lah Apa pun bentuknya sllu secepat kilat,jossss lah apa pun bentuknya sllu secepat kilat,"['jossss', 'lah', 'apa', 'pun', 'bentuknya', 'sllu', 'secepat', 'kilat']","['jossss', 'bentuknya', 'sllu', 'secepat', 'kilat']","['jossss', 'bentuknya', 'sllu', 'secepat', 'kilat']","['jossss', 'bentuk', 'sllu', 'cepat', 'kilat']",jossss bentuk sllu cepat kilat
414,Mantap..,1,Mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
415,Mau monopoli ya sama My pertamina!!,-1,Mau monopoli ya sama My pertamina,mau monopoli ya sama my pertamina,"['mau', 'monopoli', 'ya', 'sama', 'my', 'pertamina']","['monopoli', 'my', 'pertamina']","['monopoli', 'my', 'pertamina']","['monopoli', 'my', 'pertamina']",monopoli my pertamina
416,Menu top up e-money nya di tambahkan sesuai nominal yg ingin di top up dong min. Biar gak nanggung isi beberapa kali. Thx,1,Menu top up emoney nya di tambahkan sesuai nominal yg ingin di top up dong min Biar gak nanggung isi beberapa kali Thx,menu top up emoney nya di tambahkan sesuai nominal yg ingin di top up dong min biar gak nanggung isi beberapa kali thx,"['menu', 'top', 'up', 'emoney', 'nya', 'di', 'tambahkan', 'sesuai', 'nominal', 'yg', 'ingin', 'di', 'top', 'up', 'dong', 'min', 'biar', 'gak', 'nanggung', 'isi', 'beberapa', 'kali', 'thx']","['menu', 'top', 'up', 'emoney', 'tambahkan', 'sesuai', 'nominal', 'top', 'up', 'min', 'nanggung', 'isi', 'kali', 'thx']","['menu', 'top', 'up', 'emoney', 'tambahkan', 'sesuai', 'nominal', 'top', 'up', 'admin', 'nanggung', 'isi', 'kali', 'terima kasih']","['menu', 'top', 'up', 'emoney', 'tambah', 'sesuai', 'nominal', 'top', 'up', 'admin', 'nanggung', 'isi', 'kali', 'terima kasih']",menu top up emoney tambah sesuai nominal top up admin nanggung isi kali terima kasih
417,Sangat membantu transaksi Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,Sangat membantu transaksi,sangat membantu transaksi,"['sangat', 'membantu', 'transaksi']","['membantu', 'transaksi']","['membantu', 'transaksi']","['bantu', 'transaksi']",bantu transaksi
418,"Sangat, sangat membantu sekali dalam transaksi, dan tidak ribet",1,Sangat sangat membantu sekali dalam transaksi dan tidak ribet,sangat sangat membantu sekali dalam transaksi dan tidak ribet,"['sangat', 'sangat', 'membantu', 'sekali', 'dalam', 'transaksi', 'dan', 'tidak', 'ribet']","['membantu', 'transaksi', 'ribet']","['membantu', 'transaksi', 'ribet']","['bantu', 'transaksi', 'ribet']",bantu transaksi ribet
419,Baik,1,Baik,baik,['baik'],[],[],[],
420,"Tolong untuk Transaksi BPJS, jangan dihapus history nya, Ribet input nomor BPJS tiap mau bayar.. CAPEK DEHH ...!!!",1,Tolong untuk Transaksi BPJS jangan dihapus history nya Ribet input nomor BPJS tiap mau bayar CAPEK DEHH,tolong untuk transaksi bpjs jangan dihapus history nya ribet input nomor bpjs tiap mau bayar capek dehh,"['tolong', 'untuk', 'transaksi', 'bpjs', 'jangan', 'dihapus', 'history', 'nya', 'ribet', 'input', 'nomor', 'bpjs', 'tiap', 'mau', 'bayar', 'capek', 'dehh']","['tolong', 'transaksi', 'bpjs', 'dihapus', 'history', 'ribet', 'input', 'nomor', 'bpjs', 'bayar', 'capek', 'dehh']","['tolong', 'transaksi', 'bpjs', 'dihapus', 'history', 'ribet', 'input', 'nomor', 'bpjs', 'bayar', 'capek', 'dehh']","['tolong', 'transaksi', 'bpjs', 'hapus', 'history', 'ribet', 'input', 'nomor', 'bpjs', 'bayar', 'capek', 'dehh']",tolong transaksi bpjs hapus history ribet input nomor bpjs bayar capek dehh
421,Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,,,[],[],[],[],
422,Mantapppppp,1,Mantapppppp,mantapppppp,['mantapppppp'],['mantapppppp'],['mantapppppp'],['mantapppppp'],mantapppppp
423,Mudah,1,Mudah,mudah,['mudah'],['mudah'],['mudah'],['mudah'],mudah
424,Lancar jaya,1,Lancar jaya,lancar jaya,"['lancar', 'jaya']","['lancar', 'jaya']","['lancar', 'jaya']","['lancar', 'jaya']",lancar jaya
425,Saya sangat merekomendasikan ini sebagai E wallet anda karena sangat gampang di aplikasikan,1,Saya sangat merekomendasikan ini sebagai  wallet anda karena sangat gampang di aplikasikan,saya sangat merekomendasikan ini sebagai  wallet anda karena sangat gampang di aplikasikan,"['saya', 'sangat', 'merekomendasikan', 'ini', 'sebagai', 'wallet', 'anda', 'karena', 'sangat', 'gampang', 'di', 'aplikasikan']","['merekomendasikan', 'wallet', 'gampang', 'aplikasikan']","['merekomendasikan', 'wallet', 'gampang', 'aplikasikan']","['rekomendasi', 'wallet', 'gampang', 'aplikasi']",rekomendasi wallet gampang aplikasi
426,Ok,1,Ok,ok,['ok'],['ok'],['ok'],['ok'],ok
427,nice,1,nice,nice,['nice'],['nice'],['nice'],['nice'],nice
428,Lancar,1,Lancar,lancar,['lancar'],['lancar'],['lancar'],['lancar'],lancar
429,"Lebih mudah praktis, sangat membantu..",1,Lebih mudah praktis sangat membantu,lebih mudah praktis sangat membantu,"['lebih', 'mudah', 'praktis', 'sangat', 'membantu']","['mudah', 'praktis', 'membantu']","['mudah', 'praktis', 'membantu']","['mudah', 'praktis', 'bantu']",mudah praktis bantu
430,Pakai link aja memang mantap.,1,Pakai link aja memang mantap,pakai link aja memang mantap,"['pakai', 'link', 'aja', 'memang', 'mantap']","['pakai', 'link', 'mantap']","['pakai', 'link', 'mantap']","['pakai', 'link', 'mantap']",pakai link mantap
431,2 kali beli paket dara tri..hangus dana tdk di kembalikan..,-1,kali beli paket dara trihangus dana tdk di kembalikan,kali beli paket dara trihangus dana tdk di kembalikan,"['kali', 'beli', 'paket', 'dara', 'trihangus', 'dana', 'tdk', 'di', 'kembalikan']","['kali', 'beli', 'paket', 'dara', 'trihangus', 'dana', 'kembalikan']","['kali', 'beli', 'paket', 'dara', 'trihangus', 'dana', 'kembalikan']","['kali', 'beli', 'paket', 'dara', 'trihangus', 'dana', 'kembali']",kali beli paket dara trihangus dana kembali
432,Ok bingits,1,Ok bingits,ok bingits,"['ok', 'bingits']","['ok', 'bingits']","['ok', 'bingits']","['ok', 'bingits']",ok bingits
433,Ã°ÂÂÂ,1,,,[],[],[],[],
434,Mantab... Abiz...,1,Mantab Abiz,mantab abiz,"['mantab', 'abiz']","['mantab', 'abiz']","['mantab', 'abiz']","['mantab', 'abiz']",mantab abiz
435,Praktis,1,Praktis,praktis,['praktis'],['praktis'],['praktis'],['praktis'],praktis
436,Mantap,1,Mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
437,Memudahkanpengisian pulsa,1,Memudahkanpengisian pulsa,memudahkanpengisian pulsa,"['memudahkanpengisian', 'pulsa']","['memudahkanpengisian', 'pulsa']","['memudahkanpengisian', 'pulsa']","['memudahkanpengisian', 'pulsa']",memudahkanpengisian pulsa
438,Aplikasinya mantapp lumayan murah untuk bonuss tlpn Tapi sayang klw pengiriman gagal saldonua tdk di kembalikan,1,Aplikasinya mantapp lumayan murah untuk bonuss tlpn Tapi sayang klw pengiriman gagal saldonua tdk di kembalikan,aplikasinya mantapp lumayan murah untuk bonuss tlpn tapi sayang klw pengiriman gagal saldonua tdk di kembalikan,"['aplikasinya', 'mantapp', 'lumayan', 'murah', 'untuk', 'bonuss', 'tlpn', 'tapi', 'sayang', 'klw', 'pengiriman', 'gagal', 'saldonua', 'tdk', 'di', 'kembalikan']","['aplikasinya', 'mantapp', 'lumayan', 'murah', 'bonuss', 'tlpn', 'sayang', 'klw', 'pengiriman', 'gagal', 'saldonua', 'kembalikan']","['aplikasinya', 'mantapp', 'lumayan', 'murah', 'bonuss', 'tlpn', 'sayang', 'klw', 'pengiriman', 'gagal', 'saldonua', 'kembalikan']","['aplikasi', 'mantapp', 'lumayan', 'murah', 'bonuss', 'tlpn', 'sayang', 'klw', 'kirim', 'gagal', 'saldonua', 'kembali']",aplikasi mantapp lumayan murah bonuss tlpn sayang klw kirim gagal saldonua kembali
439,Bisa membantu apk nya,1,Bisa membantu apk nya,bisa membantu apk nya,"['bisa', 'membantu', 'apk', 'nya']","['membantu', 'apk']","['membantu', 'apk']","['bantu', 'apk']",bantu apk
440,fjfud awet,1,fjfud awet,fjfud awet,"['fjfud', 'awet']","['fjfud', 'awet']","['fjfud', 'awet']","['fjfud', 'awet']",fjfud awet
441,Semoga aplikasi linkaja bisa membantu saya untuk membeli pulsa dengan cara kredit,1,Semoga aplikasi linkaja bisa membantu saya untuk membeli pulsa dengan cara kredit,semoga aplikasi linkaja bisa membantu saya untuk membeli pulsa dengan cara kredit,"['semoga', 'aplikasi', 'linkaja', 'bisa', 'membantu', 'saya', 'untuk', 'membeli', 'pulsa', 'dengan', 'cara', 'kredit']","['semoga', 'aplikasi', 'linkaja', 'membantu', 'membeli', 'pulsa', 'kredit']","['semoga', 'aplikasi', 'linkaja', 'membantu', 'membeli', 'pulsa', 'kredit']","['moga', 'aplikasi', 'linkaja', 'bantu', 'beli', 'pulsa', 'kredit']",moga aplikasi linkaja bantu beli pulsa kredit
442,Wow,1,Wow,wow,['wow'],['wow'],['wow'],['wow'],wow
443,Alhamdulillah,1,Alhamdulillah,alhamdulillah,['alhamdulillah'],['alhamdulillah'],['alhamdulillah'],['alhamdulillah'],alhamdulillah
444,Aplikasi bagus,1,Aplikasi bagus,aplikasi bagus,"['aplikasi', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus
445,Kenpa sekarang trobel ya bos buat transaksi,-1,Kenpa sekarang trobel ya bos buat transaksi,kenpa sekarang trobel ya bos buat transaksi,"['kenpa', 'sekarang', 'trobel', 'ya', 'bos', 'buat', 'transaksi']","['kenpa', 'trobel', 'bos', 'transaksi']","['kenpa', 'trobel', 'bos', 'transaksi']","['kenpa', 'trobel', 'bos', 'transaksi']",kenpa trobel bos transaksi
446,Kalau bukan karena mypertamina gk mungkin download aplikasi ini. Burik,-1,Kalau bukan karena mypertamina gk mungkin download aplikasi ini Burik,kalau bukan karena mypertamina gk mungkin download aplikasi ini burik,"['kalau', 'bukan', 'karena', 'mypertamina', 'gk', 'mungkin', 'download', 'aplikasi', 'ini', 'burik']","['mypertamina', 'gk', 'download', 'aplikasi', 'burik']","['mypertamina', 'tidak', 'download', 'aplikasi', 'burik']","['mypertamina', 'tidak', 'download', 'aplikasi', 'burik']",mypertamina tidak download aplikasi burik
447,"Makin kesni makin gk enk aja di pakenya link aja kmren sampe skrng saldo pending belom di balikin, skrng isi saldo dari bri notif masuk saldo gak masuk parah bener",-1,Makin kesni makin gk enk aja di pakenya link aja kmren sampe skrng saldo pending belom di balikin skrng isi saldo dari bri notif masuk saldo gak masuk parah bener,makin kesni makin gk enk aja di pakenya link aja kmren sampe skrng saldo pending belom di balikin skrng isi saldo dari bri notif masuk saldo gak masuk parah bener,"['makin', 'kesni', 'makin', 'gk', 'enk', 'aja', 'di', 'pakenya', 'link', 'aja', 'kmren', 'sampe', 'skrng', 'saldo', 'pending', 'belom', 'di', 'balikin', 'skrng', 'isi', 'saldo', 'dari', 'bri', 'notif', 'masuk', 'saldo', 'gak', 'masuk', 'parah', 'bener']","['kesni', 'gk', 'enk', 'pakenya', 'link', 'kmren', 'sampe', 'skrng', 'saldo', 'pending', 'belom', 'balikin', 'skrng', 'isi', 'saldo', 'bri', 'notif', 'masuk', 'saldo', 'masuk', 'parah', 'bener']","['kesni', 'tidak', 'enk', 'pakenya', 'link', 'kmren', 'sampe', 'sekarang', 'saldo', 'pending', 'belom', 'balikin', 'sekarang', 'isi', 'saldo', 'bri', 'notif', 'masuk', 'saldo', 'masuk', 'parah', 'benar']","['kesni', 'tidak', 'enk', 'pakenya', 'link', 'kmren', 'sampe', 'sekarang', 'saldo', 'pending', 'bom', 'balikin', 'sekarang', 'isi', 'saldo', 'bri', 'notif', 'masuk', 'saldo', 'masuk', 'parah', 'benar']",kesni tidak enk pakenya link kmren sampe sekarang saldo pending bom balikin sekarang isi saldo bri notif masuk saldo masuk parah benar
448,Aplikasi ribet Mau upgrade aja ribet banget make segala gagal pdhal udah bener ngisi formulir nya !!!,-1,Aplikasi ribet Mau upgrade aja ribet banget make segala gagal pdhal udah bener ngisi formulir nya,aplikasi ribet mau upgrade aja ribet banget make segala gagal pdhal udah bener ngisi formulir nya,"['aplikasi', 'ribet', 'mau', 'upgrade', 'aja', 'ribet', 'banget', 'make', 'segala', 'gagal', 'pdhal', 'udah', 'bener', 'ngisi', 'formulir', 'nya']","['aplikasi', 'ribet', 'upgrade', 'ribet', 'banget', 'make', 'gagal', 'pdhal', 'udah', 'bener', 'ngisi', 'formulir']","['aplikasi', 'ribet', 'upgrade', 'ribet', 'banget', 'make', 'gagal', 'padahal', 'sudah', 'benar', 'ngisi', 'formulir']","['aplikasi', 'ribet', 'upgrade', 'ribet', 'banget', 'make', 'gagal', 'padahal', 'sudah', 'benar', 'ngisi', 'formulir']",aplikasi ribet upgrade ribet banget make gagal padahal sudah benar ngisi formulir
449,nice,1,nice,nice,['nice'],['nice'],['nice'],['nice'],nice
450,Ok mantap,1,Ok mantap,ok mantap,"['ok', 'mantap']","['ok', 'mantap']","['ok', 'mantap']","['ok', 'mantap']",ok mantap
451,Jos,1,Jos,jos,['jos'],['jos'],['jos'],['jos'],jos
452,Aduh ini gimana yahh saya transaksi kuota sampai sekarang masih dalam proses jadi gantung gini sedangkan saldo udh kepotong udh komplen cs msih belum bisa di atasi . Tolong bgt ini gimna caranya lagi gangguan atau gmna,-1,Aduh ini gimana yahh saya transaksi kuota sampai sekarang masih dalam proses jadi gantung gini sedangkan saldo udh kepotong udh komplen cs msih belum bisa di atasi Tolong bgt ini gimna caranya lagi gangguan atau gmna,aduh ini gimana yahh saya transaksi kuota sampai sekarang masih dalam proses jadi gantung gini sedangkan saldo udh kepotong udh komplen cs msih belum bisa di atasi tolong bgt ini gimna caranya lagi gangguan atau gmna,"['aduh', 'ini', 'gimana', 'yahh', 'saya', 'transaksi', 'kuota', 'sampai', 'sekarang', 'masih', 'dalam', 'proses', 'jadi', 'gantung', 'gini', 'sedangkan', 'saldo', 'udh', 'kepotong', 'udh', 'komplen', 'cs', 'msih', 'belum', 'bisa', 'di', 'atasi', 'tolong', 'bgt', 'ini', 'gimna', 'caranya', 'lagi', 'gangguan', 'atau', 'gmna']","['aduh', 'gimana', 'yahh', 'transaksi', 'kuota', 'proses', 'gantung', 'gini', 'saldo', 'udh', 'kepotong', 'udh', 'komplen', 'cs', 'msih', 'atasi', 'tolong', 'bgt', 'gimna', 'gangguan', 'gmna']","['aduh', 'bagaimana', 'yahh', 'transaksi', 'kuota', 'proses', 'gantung', 'gini', 'saldo', 'sudah', 'kepotong', 'sudah', 'komplen', 'cs', 'msih', 'atasi', 'tolong', 'banget', 'gimna', 'gangguan', 'gmna']","['aduh', 'bagaimana', 'yahh', 'transaksi', 'kuota', 'proses', 'gantung', 'gin', 'saldo', 'sudah', 'potong', 'sudah', 'komplen', 'cs', 'msih', 'atas', 'tolong', 'banget', 'gimna', 'ganggu', 'gmna']",aduh bagaimana yahh transaksi kuota proses gantung gin saldo sudah potong sudah komplen cs msih atas tolong banget gimna ganggu gmna
453,Suka pakai link aja memudahkan saat gak punya pulsa bisa isi sendiri Nice link aja,1,Suka pakai link aja memudahkan saat gak punya pulsa bisa isi sendiri Nice link aja,suka pakai link aja memudahkan saat gak punya pulsa bisa isi sendiri nice link aja,"['suka', 'pakai', 'link', 'aja', 'memudahkan', 'saat', 'gak', 'punya', 'pulsa', 'bisa', 'isi', 'sendiri', 'nice', 'link', 'aja']","['suka', 'pakai', 'link', 'memudahkan', 'pulsa', 'isi', 'nice', 'link']","['suka', 'pakai', 'link', 'memudahkan', 'pulsa', 'isi', 'nice', 'link']","['suka', 'pakai', 'link', 'mudah', 'pulsa', 'isi', 'nice', 'link']",suka pakai link mudah pulsa isi nice link
454,Siplah,1,Siplah,siplah,['siplah'],['siplah'],['siplah'],['sip'],sip
455,The Best,1,The Best,the best,"['the', 'best']","['the', 'best']","['the', 'best']","['the', 'best']",the best
456,SangatÃÂ² memuaskan Ã°ÂÂÂ,1,Sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],['memuaskan'],['muas'],muas
457,Saya gak bisa kirim saldo si ke bank ada peningkatan terus biasa Nyah mah kagak gini,-1,Saya gak bisa kirim saldo si ke bank ada peningkatan terus biasa Nyah mah kagak gini,saya gak bisa kirim saldo si ke bank ada peningkatan terus biasa nyah mah kagak gini,"['saya', 'gak', 'bisa', 'kirim', 'saldo', 'si', 'ke', 'bank', 'ada', 'peningkatan', 'terus', 'biasa', 'nyah', 'mah', 'kagak', 'gini']","['kirim', 'saldo', 'bank', 'peningkatan', 'nyah', 'mah', 'kagak', 'gini']","['kirim', 'saldo', 'bank', 'peningkatan', 'nyah', 'mah', 'kagak', 'gini']","['kirim', 'saldo', 'bank', 'tingkat', 'nyah', 'mah', 'kagak', 'gin']",kirim saldo bank tingkat nyah mah kagak gin
458,Sangat membantu,1,Sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],bantu
